,President,Generated Text,Actual Text
14,George Washington,"Throughout his speech, Monroe expresses his gratitude for the continued conflict with Indians and announces that a new treaty with Spain will be signed and discussed with the Senate. The President also touches on domestic matters, including relations with Britain and France, and the military situation in Europe.","Washington's 1795 speech is imbued with a sense of hopeful progress. He briefs Congress on ongoing negotiations with the Native Americans and the European powers, before moving on to consider current domestic issues and the state of the nation as a whole."
15,George Washington,"the House requests that President James Madison disclose all of the documents relating to the Great Britain Treaty to the House. The Senate approves the two thirds of the Senate's consent, but the House rejects this request.","In 1796, the House and the Senate were battling about power over foreign affairs in the context of the Jay Treaty; the Senate held power to ratify treaties, but the House appropriated the funds to carry out the treaty. Attempting to gain more foreign affairs power, the House requests that President Washington release all pertinent documents and correspondence on the Jay Treaty to the House. In this message, Washington refuses, saying that a dangerous precedent would be set"
16,George Washington,the President withdraws his bid to serve in the United States. He thanks the American people for their support and continues to work hard to improve relations with other nations.,"In one of the most famous addresses in American history, Washington declines to seek a third term as President, and he thanks the American people for entrusting him with the position. He calls on American citizens to remain patriotic and unified despite their differences and to avoid ""permanent Alliances"" with other nations. Washington released this address to newspapers around the countries but he never presented it in person before any assembly."
17,George Washington,the President expresses his desire for peace with Britain and to establish a boundary between the United States and Spain. He also discusses the recent appointment of a Commissioner for running the boundary line between the territory and his Catholic Majesty's Provinces of Florida.,"Making his last public appearance as President, Washington expresses his desire for peace with France and recommends the establishment of a national law to protect American commerce. He concludes with specific proposals for the federal government and then congratulates Congress and the American people on 'the success of the experiment' of the new nation."
18,John Adams,"""I applaud the Constitution,"" and he expresses his disapproval of it. The President also notes that he is confident that the United States will not be left in a state of crisis until it comes into force.",Adams praises the patriotism of his predecessors and celebrates the virtues of the Constitution. The President cautions Americans not to lose sight of the danger their liberties face before offering up his qualifications and resources for the job.
19,John Adams,"During his second State of the Union address, Jefferson expresses his regret over the extraordinary session and asks Congress to consider appropriate measures. The President also addresses foreign relations with France, before proposing to send a new minister to Paris to restore trust and resolve between the two nations.",The President informs Congress of the diplomatic dispute between the United States and France taking place by presenting the evidence and the facts. Adams specifically addresses the safety of commerce on the seas and urges all departments in the government to adopt a forceful course of action.
20,John Adams,"the President submits his concerns regarding the situation in Europe to Congress, focusing on civil and military matters, including the establishment of a permanent peace order in Holland and the protection of American citizens at home. Jefferson also discusses the importance of protecting American interests and property during the war effort.","Adams focuses on relations with other states in this speech, particularly the problems with France and Spain, and the impact these problems have on United States commerce. The President then requests that the Congress consider the national debts and taxes."
21,John Adams,"the President expresses his gratitude for a peaceful relationship with France and invites Congress to consider establishing appropriate regulations to aid in the prevention of contagious diseases. Jefferson also stresses the importance of enforcing a strong French policy and maintaining an undismayed sense of national honor, dignity and independence.",Adams discusses the unacceptable solutions France offers to the diplomatic dispute and vows to maintain the integrity of the United States and its embassies. The President outlines the advantages to establishing a larger military and to developing a navy before submitting his budget to Congress.
22,John Adams,"Upon meeting with the 6th Congress, Monroe recommends a review and revisal of the judiciary system to ensure a fair execution of the law in certain counties of Pennsylvania and to protect citizens from oppression. The President also recommends a review and revisal of the military system to ensure a fair comparison between the execution of the law and the rights and duties of officers and citizens.","The President begins by addressing the problems in the execution of the law in parts of Pennsylvania and recommends a review and revisal of the judiciary system so as not to allow large differences in interpretation. Adams also touches on relations with Britain and France, the state of finances, and the transfer of the government from Philadelphia to Washington, D.C.."
23,John Adams,"the President focuses on relations with Britain, France, and Prussia. He also touches on the military and economic situation in the Middle East.","Adams focuses his remarks on the move of the Government to its permanent seat in Washington, D.C.., and his praise for the armed forces and the navy, which have increased the global reputation of the United States. The President briefly touches upon relations with Britain, France, and Prussia."
24,Thomas Jefferson,"Despite his strong republican government, Jefferson seeks to maintain the integrity of the nation. He also emphasizes the importance of unity in the country's relations with other nations and establishes a coalition with the United States.","After a particularly bitter and divisive campaign and election, Jefferson focuses on unifying the country, especially Republicans and Federalists. The President enumerates his ideas of the principles of government, which include equal rights, preservation of the constitution, and civil control of the military."
25,Thomas Jefferson,"Samuel Bishop was appointed to the city clerk of New Haven. The President argues that Bishop is unfit to serve in the state, and he also believes that if he can perform his duties properly, all public purposes will be served.","After Jefferson removed the collector for the port of New Haven, a Federalist appointed by Adams, New Haven merchants sent their objections against Samuel Bishop as the replacement to the President. The President responds by enumerating Bishop's qualifications for the post and calling for harmony with and political tolerance for those of other parties and beliefs."
26,Thomas Jefferson,"the President congratulates his Barbary neighbors on his recent efforts to maintain and maintain good relations with them. Tripoli, however, remains a major problem for the United States.","Jefferson outlines his Republican policies, outlining the status of the military, his views on taxes and the organization of the federal and local government system. The President spends some time addressing the volatile situation in the Barbary States, especially Tripoli."
27,Thomas Jefferson,"the President expresses his deepest concern about the separation between church and state, and he hopes to build a wall of separation between church and State.","Responding to a supportive letter from the Danbury Baptist Association in Connecticut, Jefferson admires the ""wall of separation between church and state"" established by the First Amendment. The President wanted to reprimand the large number of clerics that mixed religion and politics in that part of the nation, especially those that publicly opposed his beliefs on the subject."
28,Thomas Jefferson,the President applauds the resolution of the United States to prohibit the sale of spirituous liquors to any individual seeking to purchase land. The President also reiterates his commitment to allowing spirits to be used for the protection of his people and the preservation of their lands.,"Jefferson addresses the concerns of Handsome Lake for his people by agreeing to restrict the sale of liquor to the Indians. Extending his friendship, the President reiterates his commitment to allowing Handsome Lake to maintain the same territories, and he offers the protection of the United States government to ensure the integrity of any sale of land."
29,Thomas Jefferson,"the President discusses Indian relations and his plan to settle with Tripoli. Jackson also touches on a number of domestic issues, including the lack of public money, in 1881. military spending, and taxes.","President Jefferson discusses Indian relations, outlining his negotiations to create fixed boundaries, and he remarks on the continued state of warfare between the United States and Tripoli. Domestically, Jefferson praises the good state of finances that have allowed him to pay off a large portion of the national debt."
30,Thomas Jefferson,"the President outlines his plans for trading with the Indians and proposes two measures to encourage them to abandon hunting and increase their domestic comforts. The President also discusses the possibility of planting on the Missouri River as a viable alternative to the Mississippi River, making him the first President to do so.","Jefferson introduces an act to Congress to establish trading houses among the Indians and persuade them to take on an agricultural lifestyle deemed less expansionary and more civilized. The President also suggests deploying officers to explore the Missouri River area to establish trading relations with the groups of Indians situated further west, resulting in the Lewis and Clark expeditions."
31,Thomas Jefferson,the President makes a brief statement on his plans to explore the Missouri River and establish good relations with the Indians. He also discusses the importance of understanding the Indians and their customs before sending them on a mission to expand commerce.,"The President lists his goals for the Lewis and Clark expedition, most notably the evaluation of opportunities to expand commerce westward. Jefferson reminds Captain Lewis to be friendly and approachable with the Indians and to begin establishing important trading relationships."
32,Thomas Jefferson,"the President outlines his plans for the future, including a detailed report on the Indians' acquisition of New Orleans and other territories. Monroe also discusses the establishment of a permanent colony and the expansion of commerce between the two nations.","Jefferson discusses the implications of the Louisiana Purchase for both national and foreign affairs, emphasizing the importance of acquiring the port of New Orleans. The President states that the debt accumulated from the purchase will be paid off over the course of fifteen years, silencing critics on the debilitating financial indications."
33,Thomas Jefferson,the President praises the efforts of the Indians to buy land and reassures his people that he will pay off their debts. The President also emphasizes the importance of cooperation between the Indians and the English in paying off their debts and reaffirms his desire to help pay off their debts.,"Upon meeting with leaders of the Choctaw Nation, Jefferson praises the bonds between the Indians and the Americans, and he emphasizes the peaceful co-existence of the two groups. The President agrees to buy land around the Mississippi from the Choctaw Nation to help pay off its debts and praises their pledge to turn to agriculture."
34,Thomas Jefferson,the President announces to Congress that he has withdrawn the Louisana Treaty and that he will continue to negotiate with other nations. The President also warns Americans not to underestimate the danger their actions pose to themselves or others in the coming World War I.,"Jefferson focuses primarily on relations with other countries, giving his comments about recognition of the Louisiana Purchase by Spain, continuing tensions with Tripoli, and European relations. Seeking to establish good ""neighborly relations"" with the Indians, the President outlines the boundaries negotiated between the government and the Indians and calls for a conference to discuss lingering issues."
35,Thomas Jefferson,the President outlines his duties and goals for domestic affairs. He also discusses the importance of maintaining good relations with other nations and establishing good relations with them.,"The President praises his first administration's restraint in keeping the government from spending too much or growing too large, while arguing that the Louisiana Purchase increases national security. Jefferson spends a great deal of time discussing better Indian relations, advocating for a responsible, moral government to execute the business of the nation."
36,Thomas Jefferson,the President announces his plans to establish a force to protect maritime ports and towns from the spread of the disease. The President also warns that attacks on other ports may pose a serious problem for the country.,"At the beginning of his second term, Jefferson addresses the serious threat to ports and coastal towns posed by the Spanish and pirates, promising to arm the cities and patrol the waters with more ships. The President reassures the public that the militia system continues to work and promises to create a more able navy."
37,Thomas Jefferson,Jefferson outlines his response to the Spanish invasion of Louisiana and calls on Congress to ratify a new treaty with Spain. The President also warns against any attempt to use force to protect American citizens' rights in the Gulf War.,"Asking for Congress' support and guidance, Jefferson outlines the crisis with Spain and France over payments due for seized American goods. The President rejects war as a solution but vows to protect American citizens' rights abroad."
38,Thomas Jefferson,the President expresses his desire for peace in the newly acquired Cherokee Nation. He encourages the Cherokees to continue their war efforts and to avoid conflict with the Indians on the other side of the Mississippi River.,"Jefferson praises the efforts of the Cherokee Nation to begin to farm and develop laws, offering the expertise of Americans to help further modernize their society. At the same time, the President condemns the attacks on Indians on the other side of the Mississippi River and calls on the Cherokees to bring peace in the newly acquired American land."
39,Thomas Jefferson,the President outlines the situation in Louisiana and the surrounding areas and his recommendations for improving the defense of the country. The President also discusses the need for a stronger settlement on the western side of the Mississippi River to provide adequate protection against hostile Spanish attacks.,"Jefferson addresses the crisis with Spain at length, outlining the measures he has taken to defend the country. The president also highlights the important contributions that the Lewis and Clark expedition and other expeditions have made to the knowledge of the country."
40,Thomas Jefferson,the President gives a warm welcome to the United States. He hopes to restore good health to the country and bring peace to the neighbors on this side of the Mississippi River.,"The President reassures the Mandan Nation that the United States now holds complete responsibility for all the land between Mexico and Canada, and he offers friendship and protection. Jefferson advises the Indians to turn from war and concentrate on peaceful activities, especially setting up and maintaining the trading houses that Captain Lewis advised."
41,Thomas Jefferson,"Jefferson outlines his response to the conspiracies that led him to seize a portion of Louisiana and other parts of the Mississippi River. The President describes his reaction to the conspiracies, calling them ""unbelievable.""","In response to charges of treason against his former Vice President Aaron Burr, President Jefferson outlines Burr's efforts to detach the Western states and parts of the Louisiana Territory from the Union and make himself the ruler. Jefferson outlines his response to stop the conspiracy, calls for fair trials for those involved, and dismisses rumors that Burr had foreign assistance."
42,Thomas Jefferson,the President outlines his plans to distribute the boats among the ports and harbors of the United States. The President discusses the use of the gun-boat system in the defense of harbors and other coastal areas.,"Jefferson addresses Congress to promote his plan to supply more gun boats to the country, indicating their current use and the proposed distribution of boats. The President stresses the defensive purpose of the gun boats and requests that Congress approve the proposal."
43,Thomas Jefferson,"the President discontinues hospitality with the British and the British, but he does so to maintain neutrality throughout the wars. The President also calls on Americans to maintain neutrality throughout the wars and condemns any attempt to break up these relations.","Restating the American policy of neutrality, Jefferson characterizes the British attack on the Chesapeake as wholly unprovoked and blamed the British for not controlling its commanders. The President discontinues hospitality with the British, but resists taking other retaliatory measures."
44,Thomas Jefferson,"the President outlines his response to the British attack on Norfolk, which led him to convene a standing army and send it to the United States for ratification. Jefferson also addresses the problem of in 1881. naval relations with Spain and the Mediterranean nations before focusing on military action.",The President summarizes the situation with Spain and with neighboring Indians. Jefferson discusses raising a regular army and the role of militias in the nation.
45,James Madison,"""I feel that the current situation of the world is without a parallel and that our country will not be left behind by the injustice and violence of the belligerent powers,"" states Jefferson. The President also stresses the importance of maintaining neutrality and a spirit of independence in all disputes with the United States and its allies, and he cautions against any attempt to invade the rights of other nations.","Madison begins his address by acknowledging the domestic political tensions caused by his fractured and Congress, and he expresses concern over the war between France and England, which could jeopardize in 1881. trade and neutrality. The new President then lists principles he will use to guide him through the challenges of his new position, including maintaining neutrality, fostering a spirit of independence, and respecting the rights of states. Return to James Madison page"
46,Thomas Jefferson,"Upon returning to the scenes of his birth and early life, he expresses his desire to settle down to private life and remain among friends and neighbors and neighbors. He asks for the approval of his native country and his conduct in public life.","Demonstrating gratitude for the warm welcome home, Jefferson expresses his desire to settle down to private life and remain among friends and neighbors."
47,James Madison,the President announces the renewal of commercial relations with Britain and France. He also details the state of the economy and the size of the federal government.,"Madison informs Congress that commercial relations have been renewed with Britain and France after Britain decided to pay reparations for destroying the American ship Chesapeake. The President asks Congress to embrace the ""spirit of accommodation"" coming from the European powers."
48,James Madison,"the President outlines his concerns about the situation with Britain, who he blames for not ratifying the agreement. He also mentions the in 1881. failure of the British to ratify the agreement, and the lack of an appropriate explanation from the United States.","Madison outlines the difficulties in the relations with the French and the British, asking Congress to deliberate on appropriate responses to the dilemma. Without making specific requests, the President implies that more funds need to be appropriated to protecting in 1881. trade on the seas and preparing for an attack."
49,James Madison,the President takes possession of some Spanish territory south of the Mississippi Territory and eastward of the river Perdido. The President also warns that any attempt to take possession of the territory by a foreign authority could endanger the tranquility and security of adjacent territories.,"Because he worried that the situation in Europe could result in England or France taking parts of Florida away from the Spanish, President Madison orders officials to take possession of West Florida. The President emphasizes that the area was officially part of the Louisiana territory acquired by the United States in 1803, and he fears that the surrounding areas were in danger from the chaos in West Florida."
50,James Madison,the President focuses on foreign policy and the state of the Spanish Monarchy in West Florida. The President also discusses the impact of the blockade on neutral commerce during the war with France and the restoration of American relations with Britain and other European powers.,"Because of the mounting tensions in relations with the French and British, Madison focuses on foreign policy and the military preparedness of the United States. The President asks Congress to ready the country economically and militarily in case a conflict should arise."
51,James Madison,"the President vetoes a bill to incorporate an Episcopal church in Virginia, calling it unconstitutional. The President argues that the bill oversteps the rightful authority of government to carry out civil and public duties.","As a strong advocate for the separation of church and state, Madison vetoes a bill to charter an Episcopal church in Virginia, calling it unconstitutional. The President enumerates his objections to the bill, most notably that a dangerous precedent would be set if religious bodies were given legal authority to carry out civil and public duties."
52,James Madison,the President outlines his plans for restoring neutral relations with France. The President also discusses the economic situation in Europe and the United States' dependence on foreign aid.,"Responding the crisis with the European powers, Madison enumerates the many events which have led to the increased tensions and calls on Congress to make the country ready for an imminent conflict. The President stresses the gestures of peace made by the United States and the rejections these actions have received from France and Britain."
53,James Madison,"the President outlines his concerns with Britain and proposes a series of proposals to Congress to end the British blockade. The President also mentions the in 1881. involvement with Great Britain, which led to the creation of the Orders in Council, which were eventually adopted by Congress.","Madison asks that Congress declare war against Britain, listing four major grievances to justify action: impressment, illegal blockades, the Orders in Council, and British responsibility for renewing Indian warfare in the northwest. The President insists that a state of war already existed and to ignore these grievances would undermine in 1881. sovereignty through an implicit acceptance of British actions."
54,James Madison,"Madison declares war on Great Britain and its territories. He asks all Americans to keep an order, promote concord, and maintain the authority and efficacy of the laws.","President Madison declares war on Great Britain and all its territories for violating the neutral rights of the United States on the high seas. Madison asks all Americans to help the cause, and Congress passes the declaration of war."
55,James Madison,a joint session of Congress recommends a day of thanks to be used by all denominations for prayer and religious reflection. The President then asks all to pray for the restoration of peace to the country.,President Madison proposes a day of thanks to be used by all denominations for prayer and religious reflection. The President specifically asks all to pray for the restoration of peace to the country.
56,James Madison,the President offers his thoughts on the state of war in Europe and the continued use of American forces against savages. The President also mentions the positive effects that the depression had on the economy and plans for the future.,"Painting an optimistic picture of the early stages of war, Madison discusses the actions taken to provide for the security of the United States' border with Canada. The President illustrates that the United States maintains excellent relations with the other European powers and calls upon citizens to help with the war effort in any way they can."
57,James Madison,"During his second address to the National Assembly, Monroe expresses his concern about the infringing character of the war and calls for an end to it without breaking the spirit and standards of the nation. The President condemns the British for taking citizens as prisoners of war and denounces their attempts to disorganize our political society.","Madison dedicates his second address to praising in 1881. citizens for their noble participation in the War of 1812. The President condemns the British for bad conduct, such as taking citizens as prisoners of war, but calls the in 1881. Army heroic for seeking to preserve the rights and freedoms of the small country."
58,James Madison,"the President announces that he and Britain will continue their war efforts, but he stresses the necessity of maintaining good relations both on land and on the water. The President also mentions the success of the Hornet sloop and the in 1881. pursuit of neutral ships during the Cold War, as well as the establishment of a permanent naval base in Virginia.","The President announces the United States' acceptance of an offer by the Emperor Alexander of Russia to mediate a resolution to the conflict with Britain and his hopes that this negotiation will end the war quickly. Madison also summarizes the successes of the new Army and Navy, while requesting a tax increase from Congress to finance the conflict."
59,James Madison,the second Thursday of September is designated as a day of thanks to be used by the United States' citizens for religious solemnities. The President also proposes that all American citizens pay their respects to the United States for its continued involvement in the war with Britain.,"The President recounts the many blessings bestowed on the United States during the continued war with Britain and authorizes the second Thursday of September as the day of ""public humiliation and prayer"" requested by Congress."
60,James Madison,"the President praises the success of the war on Lake Erie and the heroic efforts of the British on Lake Ontario. The President also gives a positive assessment of the nation's relations with the British, who he hopes will lead to a more peaceful future for the country.","Madison condemns the British for using Indians to fight against the United States and inciting chaos among the Indian nations. The President reviews the defense of the nation, but he neglects to discuss the trade and smuggling issues of the time."
61,James Madison,"Madison calls on all civilian and military citizens to join together for the defense of the country. The President condemns the attacks as barbaric and uncivilized, especially during negotiations for peace.","Responding the British burning of the Capitol and nearby Alexandria, Madison calls on all civilian and military citizens to join together for the defense of the country. The President condemns the attacks as barbaric and uncivilized, especially during ongoing negotiations for peace."
62,James Madison,the President cites the successes of the war in Europe and the success of the British campaigns against the Indians on the southern frontier as major achievements. The President also mentions the positive impact that the New Deal may have had on the economy and the economic growth of the country.,"In an upbeat message to Congress, Madison focuses on the peace negotiations with the British and congratulates the successes of American commanders in the field. The President asks Congress to review the dwindling finances of the militia, insisting that American citizens were willing to shoulder the price for freedom."
63,James Madison,"the President vetoes a proposed National Bank bill, which would revive public credit, provide a medium of circulation, and aid the Treasury. The President is concerned that the proposed bank will not revive public credit, provide a medium of circulation, or help the Treasury make long term loans.","Madison vetoes a proposed National Bank bill, objecting that the proposed bank could not revive public credit, provide a medium of circulation, or help the Treasury Department make short and long term loans. The President expresses regret about vetoing a deliberated bill but encourages Congress to find a better way to discharge national financial duties."
64,James Madison,"During his address to Congress, Grant praises the success of the war between Britain and France and recommends that the United States maintain an adequate regular force, increase the strength of the navy, and revitalize the domestic economy. The President also hopes that the treaty between the two countries will be beneficial both for domestic and international commerce.","Madison presents the Treaty of Ghent to end the War of 1812 to Congress where it is received with few exceptions. The President depicts the war as a successful attempt to protect America's freedom and independence, and he asks Congress to work on creating a permanent army, expand the navy, and establish greater safeguards for in 1881. harbors."
65,James Madison,"the President announces the end of the war with Algeria. He also details the state of the budget, the health of the public works department, and the federal budget.","Speaking shortly after the end of war, Madison's message is one of optimism for the future and anticipation of the domestic reforms needed to continue the country's prosperity. The President touches on a wide range of subjects, including the national debt, Commodore Decatur's Algiers expedition, taxes, and new waterways and roadways for the Western states."
66,James Madison,"the President praises the good health of the country, but notes that a depression is experienced by certain branches of manufacture and by a portion of our navigation. The President also mentions the Catholic Church's disapproval of British regulations and the state of commerce in the Gulf of Mexico.","Announcing his retirement at the end of the term, the President thanks the nation for its support and successes during his tenure. Madison lists his suggestions for reform, which include: a national university, a uniform system of weights and measures, an overhaul of the military, a better system of roads and canals, and reform of the federal judicial system."
67,James Madison,"the President vetoes a bill that would provide federal funding for building roads and canals throughout the United States. The President believes that the Constitution does not give Congress the power to fund roads and canals in order to facilitate, promote, and secure internal commerce.","As his last official act as President, Madison vetoes a bill that would provide federal funding for building roads and canals throughout the United States. The President finds no expressed congressional power to fund roads and canals in the Constitution, and he believes that the federal government should not encroach upon matters delegated to state governments."
68,James Monroe,"Throughout his speech, Monroe expresses his confidence in the United States and its allies. He also summarizes the state of the economy and the military in all branches and discusses the current situation in Europe.",President Monroe outlines the challenges that the new nation has overcome since Revolution and further details the dangers ahead for the United States. Monroe concludes his speech with an assessment of the positive aspects of the American government.
69,James Monroe,"the President outlines his concerns with Britain and Spain, which he hopes will endanger national security. Jackson also touches on foreign relations with Britain, France, and Spain.","President Monroe discusses relations with Britain and Spain, the signing of the Treaty of Ghent, and territorial disputes in Florida and Texas within the United States. He also outlines the state of the Treasury and the military in some detail."
70,James Monroe,"Jefferson devotes most of his speech to the situation between the United States and Spain in Florida, specifically Amelia Island. Monroe also mentions the events that led him to send in troops and captured American soldiers from Amelia Island.","President Monroe devotes almost the entirety of his remarks to the situation between the United States and Spain in Florida, specifically Amelia Island. Monroe details the events that led him to send in forces."
71,James Monroe,the President explains the situation between the United States and Spain and requests that Congress ratify a treaty to ease the frictions. He also mentions the recent drought and the in 1881. war with Spain.,"Monroe gives the details on the new treaty between the United States and Spain, and he gives the Congress options to pursue to answer the injury Spain dealt the United States by not ratifying the treaty. The President concludes by giving an overview of domestic matters such as the budget and fortifications of the coastal towns."
72,James Monroe,"""I see much cause to rejoice in the blessings of our situation,"" Monroe explains, ""I see great relief under their sufferings under the pressures of the European wars"" and warns of ""dangers to be shunned in future.""","After abstractly discussing the blessings given to Americans, Monroe touches on foreign relations with Spain, France, and Britain. Monroe also sums up domestic affairs with an overview of military operations and the national budget."
73,James Monroe,"During his second term, Madison discusses the importance of civil rights and the need for an adequate army in the country. He also discusses the importance of trade and naval expansion during the Revolution and gives his thoughts on how to improve the economy.","Thanking the nation for his second opportunity to serve, Monroe discusses the importance of American neutrality throughout the wars between the European powers. He further emphasizes the important steps in commerce and trade that have been made with foreign powers before briefly discussing a variety of domestic topics."
74,John Quincy Adams,America has been a champion and vindicator of freedom and independence of all nations. She has abstained from interference in the concerns of others even when conflicts arise.,"While Secretary of State, Adams delivers a speech praising the virtues of America on Independence Day. He stresses that America has been devoted to the principles of freedom, independence and peace. This is an excerpt of the full speech."
75,James Monroe,"the President focuses his attention on foreign relations and commercial intercourse, specifically exports and imports. He also discusses the state of the economy in great detail, including the tariffs and tariffs that have been passed to benefit all nations and the European powers.","President Monroe discusses the commerce of the country in great detail, focusing on exports and imports and the most favored nation policy. The President also gives an update on the South American wars for independence and vows to help the young nations in consultation with Spain."
76,James Monroe,"Among other things, Monroe discusses commerce and the opening of the United States' ports to foreign trade. He also briefly touches on relations with Britain and France, before introducing a new commerce treaty with France.",President Monroe begins his speech by introducing a new commerce treaty with France for ratification and then details the state of commerce with other nations. He also addresses military issues before listing the shortfalls typically assumed inherent in free nations and stating his full confidence in the effectiveness of the United States.
77,James Monroe,"the President gives a detailed account of his interactions with foreign powers and the British in this important communication to Congress. The President also discusses American relations with Britain, France, and Spain, as well as military matters.","In this important speech, Monroe establishes what becomes known as the Monroe Doctrine, warning the European powers that ""we should consider any attempt on their part to extend their system to any portion of this hemisphere as dangerous to our peace and safety."" The President goes on to discuss American neutrality and commerce during European wartime."
